                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1813,                0.93803,                  1.136,                0.90407,                0.84615,                0.91802,                0.57242,                 1.3971,                  1.144,                 1.2852,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.173,                0.92138,                 1.1335,                0.85493,                0.90757,                0.91338,                0.54739,                 1.3106,                 1.1073,                 1.1898,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1194,                0.97883,                 1.1644,                      1,                  0.911,                0.92568,                 0.5386,                 1.3174,                 1.1604,                 1.2147,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0948,                0.85831,                  1.082,                  0.993,                0.92308,                0.92568,                0.55871,                 1.3427,                 1.0857,                 1.1982,                0.00101,                0.00101,                0.00101
                     52,                 1.0851,                0.91729,                 1.1185,                0.98703,                0.92308,                0.92568,                0.60168,                 1.2346,                 1.1352,                 1.1582,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0746,                0.87706,                 1.0913,                0.99527,                0.92308,                 0.9257,                0.58019,                 1.2596,                 1.1544,                 1.2111,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0979,                0.86874,                  1.118,                0.98397,                0.84615,                0.91957,                0.54376,                 1.4074,                 1.2803,                 1.2809,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.053,                0.86449,                 1.0898,                      1,                0.92228,                0.92576,                0.56012,                 1.4334,                 1.2051,                 1.2774,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0696,                0.86006,                 1.1074,                      1,                0.90628,                0.92578,                0.54738,                 1.3186,                 1.1326,                 1.2063,               0.000911,               0.000911,               0.000911
                     57,                 1.0627,                0.85625,                  1.128,                      1,                0.91696,                0.92584,                0.60412,                 1.3189,                 1.1818,                 1.2333,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0811,                0.88749,                 1.1226,                0.99251,                0.92308,                0.92599,                0.59291,                 1.3144,                 1.1399,                 1.2231,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0115,                0.81516,                 1.0898,                0.99209,                0.92308,                0.92644,                0.62443,                 1.3779,                 1.0864,                 1.2852,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0684,                0.84482,                 1.1087,                      1,                0.91404,                0.96833,                0.57207,                  1.368,                 1.0255,                 1.2085,              0.0008318,              0.0008318,              0.0008318
