                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.5084,                0.84678,                0.47095,                0.97402,                0.99356,                0.91667,                0.98885,                0.89654,                0.99356,                0.91667,                0.91521,                0.83089,                0.49565,                 1.2309,                0.53174,                0.95134,              0.0012872,              0.0012872,              0.0012872
                     38,                0.51904,                0.83861,                0.49915,                0.99193,                      1,                0.99228,                  0.995,                0.92694,                      1,                0.99228,                  0.995,                0.95239,                0.47353,                0.52203,                0.46345,                0.93231,              0.0012674,              0.0012674,              0.0012674
                     39,                0.49283,                0.81251,                 0.4799,                0.98234,                0.99473,                      1,                  0.995,                0.91251,                0.99473,                      1,                  0.995,                0.95443,                0.48419,                0.55186,                0.46885,                0.93772,              0.0012476,              0.0012476,              0.0012476
                     40,                0.52353,                0.86972,                0.50076,                0.99329,                0.91608,                      1,                0.98269,                0.89881,                0.91608,                      1,                0.98269,                0.92233,                0.48448,                0.66661,                0.56384,                 1.0361,              0.0012278,              0.0012278,              0.0012278
                     41,                0.49046,                0.90564,                0.47008,                 0.9629,                      1,                0.98588,                  0.995,                0.89186,                      1,                0.98588,                  0.995,                0.94828,                 0.5301,                0.57984,                0.54021,                 1.0447,               0.001208,               0.001208,               0.001208
                     42,                0.46589,                0.78217,                0.45247,                0.98686,                0.92017,                      1,                  0.995,                0.85529,                0.92017,                      1,                  0.995,                0.95156,                0.61988,                0.53972,                0.63726,                 1.0883,              0.0011882,              0.0011882,              0.0011882
                     43,                0.47041,                0.81969,                   0.45,                0.97005,                 0.8629,                      1,                  0.995,                0.88389,                 0.8629,                      1,                  0.995,                 0.9726,                0.50847,                0.47156,                0.60507,                 1.0178,              0.0011684,              0.0011684,              0.0011684
                     44,                0.50687,                0.86736,                0.47162,                 1.0019,                 0.9934,                      1,                  0.995,                0.92184,                 0.9934,                      1,                  0.995,                0.95597,                0.44218,                0.48878,                0.48515,                  0.967,              0.0011486,              0.0011486,              0.0011486
                     45,                0.47235,                0.77642,                0.45586,                0.97516,                0.99445,                      1,                  0.995,                0.92307,                0.99445,                      1,                  0.995,                0.95359,                0.41875,                0.58186,                 0.4653,                0.93563,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.4721,                0.81788,                0.43609,                0.95754,                 0.9928,                      1,                  0.995,                0.94514,                 0.9928,                      1,                  0.995,                0.96058,                 0.4041,                 0.4991,                0.38145,                 0.9546,               0.001109,               0.001109,               0.001109
                     47,                0.46701,                 0.7777,                 0.4154,                0.95817,                0.99327,                      1,                  0.995,                0.91999,                0.99327,                      1,                  0.995,                0.96031,                0.43165,                0.43103,                0.44074,                0.94021,              0.0010892,              0.0010892,              0.0010892
                     48,                0.47984,                0.85775,                0.44083,                0.99605,                 0.9941,                      1,                  0.995,                0.90121,                 0.9941,                      1,                  0.995,                0.89279,                0.44841,                0.76253,                0.40886,                0.91666,              0.0010694,              0.0010694,              0.0010694
                     49,                0.45221,                0.81512,                0.43528,                0.96546,                0.99554,                      1,                  0.995,                0.94537,                0.99554,                      1,                  0.995,                0.92801,                0.40774,                0.69984,                0.40489,                 0.8889,              0.0010496,              0.0010496,              0.0010496
                     50,                0.45363,                0.75357,                0.41014,                0.96898,                 0.9952,                      1,                  0.995,                 0.9334,                 0.9952,                      1,                  0.995,                0.93125,                0.39477,                0.73523,                0.38044,                0.89964,              0.0010298,              0.0010298,              0.0010298
                     51,                0.44829,                0.71614,                0.41064,                0.97148,                0.99503,                      1,                  0.995,                 0.9493,                0.99503,                      1,                  0.995,                0.93191,                0.41847,                0.86066,                0.38931,                0.92856,                0.00101,                0.00101,                0.00101
                     52,                0.47034,                0.80784,                0.43036,                0.98305,                0.99588,                      1,                  0.995,                0.92975,                0.99588,                      1,                  0.995,                0.96147,                0.41499,                0.57603,                0.35019,                0.92445,              0.0009902,              0.0009902,              0.0009902
                     53,                0.45762,                0.76745,                0.41051,                0.98466,                0.99583,                      1,                  0.995,                0.94023,                0.99583,                      1,                  0.995,                0.98705,                0.40603,                 0.4374,                0.34406,                 0.9329,              0.0009704,              0.0009704,              0.0009704
                     54,                0.42029,                 0.7241,                0.37761,                0.94446,                0.99587,                      1,                  0.995,                 0.9161,                0.99587,                      1,                  0.995,                0.95168,                0.44678,                 0.4997,                 0.3715,                0.92645,              0.0009506,              0.0009506,              0.0009506
                     55,                0.45456,                0.68344,                0.38874,                0.96611,                 0.9946,                      1,                  0.995,                0.91778,                 0.9946,                      1,                  0.995,                0.94173,                0.42473,                0.70619,                0.36283,                0.89171,              0.0009308,              0.0009308,              0.0009308
                     56,                0.43295,                0.63629,                0.39698,                0.95934,                0.99371,                      1,                  0.995,                0.93251,                0.99371,                      1,                  0.995,                0.94686,                0.38448,                0.67948,                0.33916,                 0.8839,               0.000911,               0.000911,               0.000911
                     57,                 0.4402,                0.63465,                0.39653,                0.95085,                0.99503,                      1,                  0.995,                0.95572,                0.99503,                      1,                  0.995,                0.93495,                0.36944,                0.66508,                0.33245,                0.84715,              0.0008912,              0.0008912,              0.0008912
                     58,                0.44176,                0.75516,                  0.396,                0.96858,                0.99563,                      1,                  0.995,                0.94958,                0.99563,                      1,                  0.995,                0.93638,                0.33388,                0.80384,                0.31604,                 0.8308,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.4376,                0.73466,                0.41005,                0.95285,                0.99376,                      1,                  0.995,                0.96131,                0.99376,                      1,                  0.995,                0.93115,                0.28589,                0.86583,                0.32312,                0.81606,              0.0008516,              0.0008516,              0.0008516
                     60,                0.40011,                0.69851,                0.37382,                0.94329,                0.99575,                      1,                  0.995,                0.95565,                0.99575,                      1,                  0.995,                0.93202,                 0.3014,                0.61478,                0.29902,                0.81798,              0.0008318,              0.0008318,              0.0008318
                     61,                0.38681,                0.69796,                0.34308,                0.92751,                0.99548,                      1,                  0.995,                0.96506,                0.99548,                      1,                  0.995,                0.96433,                0.33772,                0.55587,                0.31673,                0.85017,               0.000812,               0.000812,               0.000812
                     62,                0.43276,                0.68695,                 0.3862,                0.93624,                0.99565,                      1,                  0.995,                0.96555,                0.99565,                      1,                  0.995,                0.96606,                0.34109,                0.46321,                0.33275,                0.84133,              0.0007922,              0.0007922,              0.0007922
                     63,                0.42682,                0.73409,                0.36385,                0.93664,                0.99569,                      1,                  0.995,                 0.9672,                0.99569,                      1,                  0.995,                0.96463,                0.33436,                0.46917,                0.31902,                 0.8297,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.3891,                0.65809,                0.35773,                0.94215,                0.99569,                      1,                  0.995,                0.95077,                0.99569,                      1,                  0.995,                 0.9743,                0.35623,                0.41948,                0.31378,                0.83331,              0.0007526,              0.0007526,              0.0007526
